id,name,url,gps
dbc17929-fa2e-4453-8f31-c3d4e21e14d0,The Kentucky Theater,https://goo.gl/maps/3kevicLsj6r,"@38.0443229,-84.4952404,15z"
4f5c7260-047a-11e8-808e-07b6d0fe568b,The Lyric Theatre & Cultural Arts Center,https://goo.gl/maps/onMCXLbESuq,"@38.046081,-84.489303,15z"
2c7ae750-f193-4b5f-9893-fa9d56c647ba,The Living Arts & Science Center,https://goo.gl/maps/fxxWBTy6ZPx,"@38.048768,-84.488603,15z"
d9107b10-0479-11e8-808e-07b6d0fe568b,The Burl,https://goo.gl/maps/MerUrvdgk9u,"@38.0569816,-84.5276467,15z"
181af060-047a-11e8-808e-07b6d0fe568b,21c Lexington,https://goo.gl/maps/y53p9xLcNcU2,"@38.0471762,-84.499835,17z"
4c08374b-16b5-44e4-a89f-c0fd1a5f127f,LexArts - Arts Place,https://goo.gl/maps/TnS4izpyqS22,"@38.0493905,-84.4997853,17z"
709f758f-c57c-4b1b-9618-ac4dd34eed62,Heike Pickett Gallery at CMW,https://goo.gl/maps/LNo21EvgcqF2,"@38.0407071,-84.4938896,17z"
8139b81b-e8ba-4e5a-a4da-7a8baa3fc7a8,Heike Pickett Gallery and Sculpture Garden,https://goo.gl/maps/nsSnSWzW82N2,"@38.0513313,-84.7322605,17z"
e9efc5bd-64bc-4f0a-bb2b-5e304cb40290,William T. Young Library Auditorium,https://goo.gl/maps/hZdEpQyES692,"@38.0328721,-84.5017179,15z"
eb46e930-6d54-4fca-a310-ae2b00928cc9,Lexington Opera House,https://goo.gl/maps/N2mqMHyFTSU2,"@38.0500251,-84.4992071,15z"
4ed99967-5e9d-490a-8174-0289a5acb330,Blue Stallion Brewing Co.,https://goo.gl/maps/FXySNa1V6CK2,"@38.059307,-84.4941797,17z"
637de4f0-d3c3-403a-b57a-8975e242763c,The Galleries at Georgetown College,https://goo.gl/maps/xpSh1D4UKL62,"@38.2072037,-84.5577489,17z"
5b509c9d-8c4b-4ab3-8bd4-ed49f42d2eab,444 W 6th,https://goo.gl/maps/a9ahRMdFH2N2,"@38.0577096,-84.4931671,17z"
4bf24a00-4739-4efc-9b35-07e3d6a1629a,Kentucky for Kentucky,https://goo.gl/maps/XspXNU4Pyiv,"@38.0564434,-84.4835999,17z"
249d47f3-c594-4502-acc5-9fd98a0ba2c2,Bourbon N' Toulouse,https://goo.gl/maps/kuYTYDRUh6M2,"@38.0297775,-84.4905335,15z"
4af4fdd0-bff5-4b41-9634-ca537a0e94a2,Rock House Brewing,https://goo.gl/maps/yPox1KFNdfm,"@38.055809,-84.4837686,17z"
f86eace0-f3f5-11e8-b32c-5f766c4b8d02,The Bread Box ,https://goo.gl/maps/SLBZsWf41Tx,"@38.0597814,-84.4918931,15z"
41c79b20-7f19-407a-a57c-4bc37ce35728,UK Student Center,https://goo.gl/maps/HrpWXw13aS52,"@38.0333029,-84.5055201,14z"
f52c06e0-1a06-11e9-b43e-456ed9f9b823,Ona,https://goo.gl/maps/rvnSp9D9g9H2,"@38.0475464,-84.4981155,17z"
72a16c90-24d0-11e9-b43e-456ed9f9b823,Hilary J. Boone Center,https://goo.gl/maps/MiZ2yYxZjDS2,"@38.0353147,-84.5050244,17z"
81daa870-4528-11e9-b43e-456ed9f9b823,StageBox Theatre,https://goo.gl/maps/FwJgLm3SP642,"@37.9958328,-84.5498707,17z"
d83dffe0-6248-11e9-b43e-456ed9f9b823,West Sixth Farm,"https://www.google.com/maps/place/West+Sixth+Farm/@38.2737588,-84.8545441,17z/data=!3m1!4b1!4m5!3m4!1s0x88420d3736bb191b:0xe67d3e6de9f048f8!8m2!3d38.2737546!4d-84.8523554","@38.2737588,-84.8545441,17z"
72bd65a0-a7cd-11e9-b43e-456ed9f9b823,326 Southland Drive,https://goo.gl/maps/8UMUJNug6HWgiMs5A,"@38.0161969,-84.5279354,17z"
ffa30150-d491-11e9-b43e-456ed9f9b823,Manchester Coffee Co.,https://goo.gl/maps/hCqBGi1TYNBVYdQJ7,"@38.0532849,-84.5096018,15z"
fd406020-f9a7-11e9-b43e-456ed9f9b823,Centenary United Methodist ,https://goo.gl/maps/AmVCWr6r6x2CrNkx6,"@38.0114956,-84.5055811,14z"
db120590-3c90-11ea-9d77-193829f642f5,Faith Lutheran Church,https://goo.gl/maps/5NbfjwUaur92K1LY8,"@38.0263938,-84.4912082,15z"
35c1bce0-1c1d-11ea-87a7-4f5c28cab2b3,Steam Engine Session Room,https://goo.gl/maps/JZSK2Tq4jLAj4aEx7,"@37.7009647,-83.9772712,17z"
65265f60-4ea7-11ea-abf2-8dc9e627a96d,Sidecar,https://goo.gl/maps/N5VsX2zhzBNhRygu6,"@38.0541905,-84.4862243,15z"
d430b3f0-87b6-11e9-b43e-456ed9f9b823,UK School of Art and Visual Studies,https://goo.gl/maps/uEXTDMcMR2nQgpEP7,"@38.0425731,-84.5088621,17z"
